MSZoning,LotAreaInThousand,LotArea,LotShape,Utilities,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Heating,CentralAir,Electrical,1stFlrSFInHundred,1stFlrSF,2ndFlrSFInHundred,2ndFlrSF,Functional,GarageType,GarageAreaInHundreds,GarageArea,PavedDrive,YrSold,SaleType,SaleCondition,SalePrice,SalesPriceInThousand
RL,7.301,7301,Reg,AllPub,1Fam,SFoyer,7,5,2003,GasA,Y,SBrkr,4.95,495,14.27,1427,Typ,BuiltIn,6.72,672,Y,2009,ConLD,Normal,198500,198.5
RM,1.68,1680,Reg,AllPub,Twnhs,2Story,6,8,1972,GasA,Y,SBrkr,4.83,483,5.04,504,Typ,Detchd,2.64,264,Y,2009,WD,Normal,118000,118
RL,18.8,18800,IR1,AllPub,1Fam,2Story,6,5,1976,GasA,Y,SBrkr,7.9,790,7.84,784,Typ,Attchd,5.66,566,Y,2006,WD,Normal,190000,190
RM,10.69,10690,Reg,AllPub,1Fam,2Story,5,7,1920,GasA,Y,FuseA,6.72,672,6.72,672,Typ,Detchd,4.68,468,Y,2009,WD,Normal,147000,147
RL,9.5,9500,IR1,AllPub,1Fam,1Story,6,5,1963,GasA,Y,SBrkr,13.94,1394,0,0,Typ,Attchd,5.14,514,Y,2009,WD,Normal,159000,159
RL,9.15,9150,IR1,AllPub,1Fam,SLvl,6,5,1962,GasA,Y,SBrkr,14.31,1431,0,0,Typ,Basment,2.96,296,Y,2008,WD,Normal,165000,165
RL,7.8,7800,Reg,AllPub,1Fam,1Story,5,6,1954,GasA,Y,SBrkr,12.68,1268,0,0,Typ,Attchd,2.44,244,Y,2010,WD,Normal,132000,132
RL,9.83,9830,IR1,AllPub,1Fam,1Story,5,7,1959,GasA,Y,SBrkr,12.87,1287,0,0,Typ,Detchd,5.76,576,Y,2010,WD,Normal,162000,162
RL,8.121,8121,IR1,AllPub,1Fam,2Story,6,5,2000,GasA,Y,SBrkr,9.53,953,7.11,711,Typ,Attchd,4.6,460,Y,2006,WD,Normal,172400,172.4
RL,17.12,17120,Reg,AllPub,1Fam,1.5Fin,4,4,1959,GasA,Y,SBrkr,11.2,1120,4.68,468,Min2,Detchd,6.8,680,N,2008,WD,Normal,134432,134.432
RL,7.175,7175,Reg,AllPub,TwnhsE,1Story,6,5,1984,GasA,Y,SBrkr,7.52,752,0,0,Typ,Attchd,2.64,264,Y,2010,WD,Normal,125000,125
RL,10.634,10634,Reg,AllPub,1Fam,1Story,5,6,1953,GasA,Y,SBrkr,13.19,1319,0,0,Min2,Attchd,2.7,270,Y,2009,WD,Normal,123000,123
RL,8.2,8200,Reg,AllPub,1Fam,2Story,7,5,2003,GasA,Y,SBrkr,8.47,847,10.81,1081,Typ,BuiltIn,4.34,434,Y,2007,WD,Normal,219500,219.5
RL,10.02,10020,IR1,AllPub,1Fam,1Story,1,1,1922,GasA,N,FuseA,9.04,904,0,0,Maj1,NA,0,0,Y,2009,WD,Normal,61000,61
RL,8.846,8846,IR1,AllPub,1Fam,SFoyer,5,5,1996,GasA,Y,SBrkr,9.14,914,0,0,Typ,Detchd,5.76,576,Y,2006,WD,Normal,148000,148
FV,11.143,11143,IR1,AllPub,1Fam,2Story,8,5,2004,GasA,Y,SBrkr,15.8,1580,8.86,886,Typ,Attchd,6.1,610,Y,2007,WD,Normal,340000,340
RL,11.394,11394,Reg,AllPub,1Fam,1Story,9,2,2010,GasA,Y,SBrkr,18.56,1856,0,0,Typ,Attchd,8.34,834,Y,2010,New,Partial,394432,394.432
RL,8.123,8123,IR1,AllPub,1Fam,2Story,6,5,2000,GasA,Y,SBrkr,10.07,1007,7.93,793,Typ,Attchd,4.63,463,Y,2009,WD,Normal,179000,179
RL,5,5000,Reg,AllPub,1Fam,1.5Fin,5,6,1924,GasA,Y,SBrkr,10.26,1026,6.65,665,Typ,Detchd,3.08,308,Y,2010,WD,Normal,127000,127
FV,7.2,7200,Reg,AllPub,1Fam,1Story,7,5,2006,GasA,Y,SBrkr,13.01,1301,0,0,Typ,Attchd,5.72,572,Y,2006,New,Partial,187750,187.75
RL,9.245,9245,IR1,AllPub,1Fam,2Story,7,5,2006,GasA,Y,SBrkr,9.39,939,8.58,858,Typ,Attchd,6.39,639,Y,2007,WD,Normal,213500,213.5
RH,9,9000,Reg,AllPub,1Fam,1.5Unf,6,3,1928,GasA,N,FuseA,7.84,784,0,0,Typ,Detchd,3.6,360,N,2009,WD,Normal,76000,76
RL,53.107,53107,IR2,AllPub,1Fam,2Story,6,5,1992,GasA,Y,SBrkr,10.79,1079,8.74,874,Typ,Attchd,5.01,501,Y,2007,WD,Normal,240000,240
RL,3.182,3182,Reg,AllPub,TwnhsE,1Story,8,5,2004,GasA,Y,SBrkr,12.69,1269,0,0,Typ,Attchd,4.3,430,Y,2010,WD,Normal,192000,192
RL,8.41,8410,Reg,AllPub,1Fam,1.5Fin,5,3,1910,GasA,Y,SBrkr,6.58,658,5.26,526,Typ,NA,0,0,N,2006,WD,AdjLand,81000,81
RL,7.2,7200,Reg,AllPub,1Fam,SLvl,6,6,1976,GasA,Y,SBrkr,11.25,1125,0,0,Typ,Detchd,3.52,352,Y,2009,WD,Abnorml,125000,125
RL,9.382,9382,IR1,AllPub,1Fam,1Story,7,5,1999,GasA,Y,SBrkr,14.79,1479,0,0,Typ,Attchd,5.77,577,Y,2008,WD,Normal,191000,191
RL,12.474,12474,Reg,AllPub,1Fam,2Story,10,5,2007,GasA,Y,SBrkr,17.42,1742,5.9,590,Typ,BuiltIn,8.46,846,Y,2008,New,Partial,426000,426
RL,8.405,8405,Reg,AllPub,1Fam,1.5Fin,5,8,1900,GasA,Y,SBrkr,9.61,961,4.06,406,Typ,Detchd,3.84,384,Y,2008,WD,Normal,119000,119
RL,12.209,12209,IR1,AllPub,1Fam,2Story,6,5,2001,GasA,Y,SBrkr,8.04,804,11.57,1157,Typ,BuiltIn,5.6,560,Y,2009,WD,Normal,215000,215
RL,8.339,8339,IR1,AllPub,1Fam,1Story,5,7,1959,GasA,Y,SBrkr,8.82,882,0,0,Typ,Attchd,2.94,294,Y,2007,WD,Normal,106500,106.5
RL,7.446,7446,Reg,AllPub,1Fam,1Story,4,5,1941,GasA,Y,FuseA,7.88,788,0,0,Typ,NA,0,0,Y,2006,WD,Abnorml,100000,100
RL,10.134,10134,Reg,AllPub,1Fam,1.5Fin,5,6,1940,GasA,Y,FuseA,7.35,735,2.99,299,Typ,Detchd,2.4,240,Y,2007,WD,Normal,109000,109
RL,9.571,9571,Reg,AllPub,1Fam,1Story,5,6,1956,GasA,Y,SBrkr,11.44,1144,0,0,Typ,Attchd,5.96,596,Y,2010,WD,Normal,129000,129
RL,7.2,7200,Reg,AllPub,1Fam,1Story,5,5,1972,GasA,Y,SBrkr,8.94,894,0,0,Typ,Detchd,6,600,Y,2009,WD,Normal,123000,123
RL,7.59,7590,Reg,AllPub,1Fam,2Story,5,5,1962,GasA,Y,SBrkr,8.76,876,9.36,936,Typ,Attchd,2.64,264,Y,2007,WD,Normal,169500,169.5
RM,8.967,8967,Reg,AllPub,1Fam,1Story,5,2,1920,GasA,Y,Mix,10.77,1077,0,0,Maj2,Detchd,3.38,338,N,2007,WD,Abnorml,67000,67
FV,8.125,8125,Reg,AllPub,1Fam,2Story,7,5,2006,GasA,Y,SBrkr,11.12,1112,4.38,438,Typ,Attchd,4.38,438,Y,2009,WD,Normal,241000,241
RL,14.963,14963,IR2,AllPub,TwnhsE,1Story,8,5,1996,GasA,Y,SBrkr,12.88,1288,0,0,Typ,Attchd,5,500,Y,2008,WD,Normal,245500,245.5
RL,8.767,8767,IR1,AllPub,1Fam,1Story,7,5,2005,GasA,Y,SBrkr,13.1,1310,0,0,Typ,Attchd,4,400,Y,2006,New,Partial,164990,164.99
RL,10.2,10200,Reg,AllPub,1Fam,1Story,5,8,1940,GasA,Y,SBrkr,6.72,672,0,0,Typ,Detchd,2.4,240,N,2008,WD,Normal,108000,108
RL,12.09,12090,Reg,AllPub,1Fam,2Story,8,5,1998,GasA,Y,SBrkr,11.65,1165,10.98,1098,Typ,BuiltIn,4.2,420,Y,2006,WD,Abnorml,258000,258
RL,10.364,10364,IR1,AllPub,1Fam,2Story,6,5,1995,GasA,Y,SBrkr,8.06,806,7.66,766,Typ,BuiltIn,3.73,373,Y,2007,WD,Normal,168000,168
RL,9.991,9991,IR1,AllPub,1Fam,1Story,4,4,1976,GasA,Y,SBrkr,16.2,1620,0,0,Min1,Attchd,4.9,490,Y,2009,WD,Normal,150000,150
RL,10.48,10480,Reg,AllPub,1Fam,1.5Fin,6,5,1936,GasA,Y,FuseA,11.66,1166,0,0,Maj2,Detchd,2.4,240,Y,2008,WD,Normal,115000,115
RL,15.576,15576,Reg,AllPub,1Fam,2Story,6,7,1915,GasA,Y,SBrkr,8.4,840,8.4,840,Typ,Attchd,3.08,308,Y,2008,WD,Normal,177000,177
RL,14.154,14154,Reg,AllPub,1Fam,2Story,7,5,2006,GasA,Y,SBrkr,10.71,1071,11.01,1101,Typ,Attchd,9.47,947,Y,2007,New,Partial,280000,280
FV,10.8,10800,Reg,AllPub,1Fam,2Story,8,5,2007,GasA,Y,SBrkr,10.5,1050,10.28,1028,Typ,Attchd,8.36,836,Y,2008,New,Partial,339750,339.75
RL,9.571,9571,Reg,AllPub,1Fam,1Story,5,3,1958,GasA,Y,FuseA,12.76,1276,0,0,Mod,Attchd,3.5,350,Y,2009,COD,Abnorml,60000,60
RL,34.65,34650,Reg,AllPub,2fmCon,1Story,5,5,1955,GasA,N,SBrkr,10.56,1056,0,0,Typ,Attchd,5.72,572,Y,2006,WD,Normal,145000,145
FV,4.403,4403,IR2,AllPub,1Fam,1Story,7,5,2009,GasA,Y,SBrkr,14.78,1478,0,0,Typ,Attchd,4.84,484,Y,2010,New,Partial,222000,222
RM,8.96,8960,Reg,AllPub,1Fam,1Story,5,6,1927,GasA,Y,FuseA,10.28,1028,0,0,Typ,Detchd,3.6,360,Y,2010,WD,Normal,115000,115
RL,11.228,11228,IR2,AllPub,1Fam,2Story,7,5,1993,GasA,Y,SBrkr,10.8,1080,10.17,1017,Typ,Attchd,6.78,678,Y,2008,WD,Normal,228000,228
RL,8.899,8899,IR1,AllPub,1Fam,1Story,7,5,2007,GasA,Y,SBrkr,13.4,1340,0,0,Typ,Attchd,3.96,396,Y,2007,New,Partial,181134,181.134
RL,7.844,7844,Reg,AllPub,1Fam,2Story,6,7,1978,GasA,Y,SBrkr,6.72,672,7.28,728,Typ,Attchd,4.4,440,Y,2006,WD,Normal,149500,149.5
RL,22.42,22420,IR1,AllPub,1Fam,2Story,6,6,1918,GasW,N,FuseA,13.7,1370,12.54,1254,Typ,Detchd,8.64,864,N,2007,WD,Normal,239000,239
RL,8.16,8160,Reg,AllPub,1Fam,1.5Fin,5,6,1940,GasA,N,FuseF,7.56,756,3.78,378,Typ,Detchd,2.4,240,P,2007,WD,AdjLand,126000,126
RL,8.45,8450,Reg,AllPub,1Fam,1Story,5,6,1968,GasA,Y,SBrkr,10.56,1056,0,0,Typ,Attchd,3.04,304,Y,2010,WD,Normal,142000,142
RM,7.06,7060,Reg,AllPub,Duplex,SFoyer,7,5,1997,GasA,Y,SBrkr,13.44,1344,0,0,Typ,Attchd,7.84,784,Y,2008,WD,Alloca,206300,206.3
RL,16.635,16635,IR1,AllPub,1Fam,1Story,6,7,1977,GasA,Y,SBrkr,16.02,1602,0,0,Typ,Attchd,5.29,529,Y,2009,WD,Normal,215000,215
RL,21.75,21750,Reg,AllPub,1Fam,1Story,5,5,1954,GasA,Y,FuseA,9.88,988,0,0,Typ,Attchd,5.2,520,N,2008,WD,Normal,113000,113
RL,9.2,9200,Reg,AllPub,1Fam,2Story,8,5,1998,GasA,Y,SBrkr,14.7,1470,11.6,1160,Typ,Attchd,6.96,696,Y,2008,WD,Normal,315000,315
RL,9,9000,Reg,AllPub,1Fam,1Story,6,5,1956,GasA,Y,FuseA,11.96,1196,0,0,Typ,Attchd,2.97,297,Y,2008,WD,Normal,139000,139
RM,3.378,3378,Reg,AllPub,1Fam,2Story,7,8,1946,GasA,Y,SBrkr,7.07,707,6.82,682,Typ,Detchd,2.4,240,P,2009,WD,Normal,135000,135
RL,12.8,12800,Reg,AllPub,1Fam,SLvl,7,5,1989,GasA,Y,SBrkr,16.44,1644,0,0,Typ,Attchd,5.69,569,Y,2009,WD,Normal,275000,275
RL,8.593,8593,IR1,AllPub,1Fam,1Story,4,6,1957,GasA,Y,SBrkr,9.07,907,0,0,Typ,Detchd,3.52,352,Y,2008,WD,Normal,109008,109.008
RL,6.762,6762,Reg,AllPub,1Fam,1Story,7,5,2007,GasA,Y,SBrkr,12.08,1208,0,0,Typ,Attchd,6.28,628,Y,2007,New,Partial,195400,195.4
RL,11.457,11457,IR1,AllPub,1Fam,1Story,6,5,1988,GasA,Y,SBrkr,14.12,1412,0,0,Typ,Attchd,5.76,576,Y,2009,WD,Normal,175000,175
RM,1.68,1680,Reg,AllPub,Twnhs,2Story,6,5,1971,GasA,Y,SBrkr,4.83,483,5.04,504,Typ,Detchd,2.64,264,Y,2008,COD,Abnorml,85400,85.4
RM,5.586,5586,IR1,AllPub,1Fam,1.5Fin,6,7,1920,GasA,Y,SBrkr,10.88,1088,1.1,110,Typ,NA,0,0,N,2008,ConLD,Abnorml,79900,79.9
RM,1.92,1920,Reg,AllPub,TwnhsE,2Story,5,5,1971,GasA,Y,SBrkr,7.65,765,6,600,Min1,Detchd,4.4,440,Y,2007,WD,Normal,122500,122.5
RL,10.839,10839,IR1,AllPub,1Fam,2Story,6,5,1997,GasA,Y,SBrkr,9.26,926,6.78,678,Typ,Attchd,4.7,470,Y,2008,WD,Normal,181000,181
RM,1.89,1890,Reg,AllPub,Twnhs,SFoyer,4,7,1972,GasA,Y,SBrkr,6.3,630,0,0,Typ,NA,0,0,Y,2008,WD,Normal,81000,81
RL,10.667,10667,IR2,AllPub,1Fam,2Story,7,6,1996,GasA,Y,SBrkr,8.27,827,8.34,834,Typ,Attchd,5.5,550,Y,2009,ConLw,Normal,212000,212
RM,4.4,4400,Reg,AllPub,1Fam,1.5Fin,6,8,1920,GasA,Y,FuseA,7.34,734,3.84,384,Typ,Detchd,4.4,440,Y,2006,WD,Normal,116000,116
RM,6,6000,Reg,AllPub,1Fam,1.5Unf,6,7,1926,GasA,Y,SBrkr,9.04,904,0,0,Typ,Detchd,1.8,180,Y,2009,WD,Normal,119000,119
RL,4.28,4280,Reg,AllPub,1Fam,1Story,5,6,1913,GasA,N,SBrkr,6.94,694,0,0,Typ,Detchd,3.52,352,P,2007,WD,Normal,90350,90.35
RL,12.354,12354,Reg,AllPub,1Fam,1.5Fin,6,8,1920,GasA,Y,SBrkr,6.84,684,5.12,512,Typ,Detchd,5.28,528,Y,2009,ConLI,Normal,110000,110
RL,15.431,15431,Reg,AllPub,1Fam,1Story,10,5,2008,GasA,Y,SBrkr,24.02,2402,0,0,Typ,Attchd,6.72,672,Y,2009,WD,Normal,555000,555
RL,12.108,12108,Reg,AllPub,Duplex,1Story,4,4,1955,GasA,N,FuseF,14.4,1440,0,0,Typ,NA,0,0,Y,2008,WD,Normal,118000,118
RM,6.24,6240,Reg,AllPub,1Fam,1.5Fin,5,7,1930,GasA,Y,SBrkr,11.28,1128,4.45,445,Typ,Detchd,3.6,360,P,2008,WD,Normal,162900,162.9
RL,3.922,3922,Reg,AllPub,TwnhsE,1Story,7,5,2006,GasA,Y,SBrkr,12.58,1258,0,0,Typ,Attchd,6.48,648,Y,2007,New,Partial,172500,172.5
RL,8.75,8750,Reg,AllPub,1Fam,2Story,7,5,1994,GasA,Y,SBrkr,9.33,933,9.75,975,Typ,Attchd,4.93,493,Y,2008,WD,Normal,210000,210
RL,9.855,9855,Reg,AllPub,1Fam,1Story,6,5,1956,GasA,Y,SBrkr,16.89,1689,0,0,Typ,Attchd,4.8,480,Y,2009,COD,Normal,127500,127.5
RL,16.492,16492,IR1,AllPub,1Fam,1Story,6,6,1966,GasA,Y,SBrkr,18.88,1888,0,0,Mod,Attchd,5.78,578,Y,2010,WD,Normal,190000,190
RL,11.214,11214,IR1,AllPub,1Fam,2Story,7,5,1998,GasA,Y,SBrkr,9.56,956,9.3,930,Typ,Attchd,4.31,431,Y,2006,WD,Normal,199900,199.9
RM,8.6,8600,Reg,AllPub,1Fam,1.5Fin,6,6,1937,GasA,Y,SBrkr,7.8,780,5.96,596,Typ,Detchd,1.98,198,N,2006,WD,Normal,119500,119.5
RM,6,6000,Reg,AllPub,1Fam,1.5Fin,3,7,1948,GasA,Y,SBrkr,6.79,679,5.04,504,Typ,Detchd,3.08,308,Y,2007,WD,Normal,120000,120
RM,5.684,5684,Reg,AllPub,1Fam,1Story,6,8,1930,GasA,Y,FuseA,8.13,813,0,0,Typ,Detchd,2.7,270,N,2006,WD,Normal,110000,110
RL,70.761,70761,IR1,AllPub,1Fam,1Story,7,5,1975,GasA,Y,SBrkr,15.33,1533,0,0,Typ,Attchd,5.76,576,Y,2006,WD,Normal,280000,280
RL,9.303,9303,IR1,AllPub,1Fam,2Story,6,5,1996,GasA,Y,SBrkr,8.88,888,8.68,868,Typ,Attchd,4.22,422,Y,2007,WD,Normal,204000,204
FV,9,9000,Reg,AllPub,1Fam,2Story,8,5,2008,GasA,Y,SBrkr,7.86,786,8.04,804,Typ,Attchd,6.76,676,Y,2009,WD,Normal,210000,210
RL,9.297,9297,Reg,AllPub,Duplex,1Story,5,5,1976,GasA,Y,SBrkr,17.28,1728,0,0,Typ,Detchd,5.6,560,Y,2006,WD,Family,188000,188
RL,9.6,9600,Reg,AllPub,1Fam,1Story,7,6,1973,GasA,Y,SBrkr,12.42,1242,0,0,Typ,Attchd,5.28,528,Y,2007,WD,Normal,175500,175.5
RM,4.571,4571,Reg,AllPub,1Fam,2Story,5,5,1916,GasA,N,SBrkr,6.24,624,7.2,720,Typ,Detchd,5.13,513,Y,2008,COD,Abnorml,98000,98
RL,53.227,53227,IR1,AllPub,1Fam,1Story,4,6,1954,GasA,Y,SBrkr,16.63,1663,0,0,Min1,Attchd,5.29,529,Y,2008,WD,Normal,256000,256
RM,5.1,5100,Reg,AllPub,1Fam,2Story,8,7,1925,GasA,Y,SBrkr,8.33,833,8.33,833,Typ,Detchd,2.28,228,Y,2008,WD,Normal,161000,161
RL,7.015,7015,IR1,AllPub,1Fam,1.5Fin,5,4,1950,GasA,Y,SBrkr,9.79,979,2.24,224,Typ,Detchd,3.52,352,Y,2009,WD,Normal,110000,110
FV,8.004,8004,IR1,AllPub,1Fam,2Story,8,5,2009,GasA,Y,SBrkr,8.32,832,11.03,1103,Typ,BuiltIn,5.52,552,Y,2009,New,Partial,263435,263.435
RL,7.2,7200,Reg,AllPub,1Fam,2Story,7,9,1936,GasA,Y,SBrkr,5.75,575,5.6,560,Typ,Detchd,5.76,576,Y,2009,WD,Normal,155000,155
RL,8.281,8281,IR1,AllPub,1Fam,1Story,5,5,1965,GasA,Y,SBrkr,8.64,864,0,0,Typ,Detchd,3.6,360,Y,2009,WD,Normal,62383,62.383
RL,11.988,11988,IR1,AllPub,1Fam,2Story,6,7,1934,GasA,Y,FuseA,8.49,849,8.11,811,Typ,Detchd,2.4,240,Y,2008,WD,Normal,188700,188.7
RL,8.43,8430,Reg,AllPub,1Fam,1Story,5,5,1978,GasA,Y,SBrkr,10.4,1040,0,0,Typ,NA,0,0,Y,2009,WD,Normal,124000,124
RM,3.072,3072,Reg,AllPub,TwnhsE,1Story,7,5,2004,GasA,Y,SBrkr,14.14,1414,0,0,Typ,Attchd,3.98,398,Y,2006,WD,Normal,178740,178.74
RL,10.628,10628,Reg,AllPub,1Fam,1Story,7,5,1970,GasA,Y,SBrkr,12.77,1277,0,0,Typ,Attchd,5.26,526,Y,2007,WD,Normal,167000,167
RL,9.48,9480,Reg,AllPub,1Fam,2Story,5,7,1942,GasA,Y,SBrkr,8.88,888,7.56,756,Typ,Attchd,3.12,312,Y,2007,WD,Normal,146500,146.5
RL,11.428,11428,IR1,AllPub,1Fam,1Story,8,5,2006,GasA,Y,SBrkr,16.34,1634,0,0,Typ,Attchd,8.66,866,Y,2007,WD,Normal,250000,250
RL,9.291,9291,IR1,AllPub,1Fam,2Story,6,5,1993,GasA,Y,SBrkr,8.32,832,8.78,878,Typ,Attchd,5.06,506,Y,2008,WD,Normal,187000,187
RL,6.82,6820,IR1,AllPub,TwnhsE,1Story,8,5,1985,GasA,Y,SBrkr,15.02,1502,0,0,Typ,Attchd,5.28,528,Y,2010,WD,Normal,212000,212
RL,11.952,11952,Reg,AllPub,1Fam,2Story,7,6,1977,GasA,Y,SBrkr,11.61,1161,8.08,808,Typ,Attchd,5.34,534,Y,2007,WD,Normal,190000,190
RM,3.675,3675,Reg,AllPub,TwnhsE,SLvl,6,5,2005,GasA,Y,SBrkr,10.72,1072,0,0,Typ,Basment,5.25,525,Y,2008,WD,Normal,148000,148
RL,14.977,14977,IR1,AllPub,1Fam,1Story,8,5,2006,GasA,Y,SBrkr,19.76,1976,0,0,Typ,Attchd,9.08,908,Y,2007,New,Partial,440000,440
RL,5.33,5330,Reg,AllPub,TwnhsE,1Story,8,5,2000,GasA,Y,SBrkr,16.52,1652,0,0,Typ,Attchd,4.99,499,Y,2007,WD,Normal,251000,251
RL,8.48,8480,Reg,AllPub,1Fam,1Story,5,6,1963,GasA,Y,SBrkr,9.7,970,0,0,Typ,Detchd,6.24,624,Y,2007,WD,Normal,132500,132.5
RL,13.125,13125,Reg,AllPub,1Fam,1Story,6,5,1997,GasA,Y,SBrkr,14.93,1493,0,0,Typ,Attchd,5.08,508,Y,2008,WD,Normal,208900,208.9
RL,13.693,13693,Reg,AllPub,1Fam,2Story,9,5,2006,GasA,Y,SBrkr,20.69,2069,5.74,574,Typ,BuiltIn,6.94,694,Y,2007,WD,Normal,380000,380
RL,10.637,10637,Reg,AllPub,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,17.18,1718,0,0,Typ,Attchd,8.26,826,Y,2009,WD,Normal,297000,297
RM,5.925,5925,Reg,AllPub,1Fam,1Story,4,7,1937,GasA,Y,SBrkr,11.31,1131,0,0,Typ,Detchd,6.72,672,Y,2007,WD,Alloca,89471,89.471
RL,16.033,16033,IR1,AllPub,1Fam,1Story,9,5,2004,GasA,Y,SBrkr,18.5,1850,0,0,Typ,Attchd,7.72,772,Y,2006,WD,Normal,326000,326
RL,11.846,11846,IR1,AllPub,1Fam,1Story,9,5,2003,GasA,Y,SBrkr,17.92,1792,0,0,Typ,Attchd,8.74,874,Y,2006,WD,Normal,374000,374
RM,2.5,2500,Reg,AllPub,1Fam,2Story,7,8,1915,GasA,Y,SBrkr,9.16,916,9.1,910,Min2,Attchd,1.64,164,Y,2009,WD,Normal,155000,155
RM,4.5,4500,Reg,AllPub,Twnhs,1Story,6,5,1998,GasA,Y,SBrkr,12.16,1216,0,0,Typ,Attchd,4.02,402,Y,2006,WD,Normal,164000,164
RL,7.758,7758,IR1,AllPub,1Fam,1Story,5,7,1962,GasA,Y,SBrkr,9.99,999,0,0,Typ,Detchd,2.64,264,Y,2007,WD,Normal,132500,132.5
RL,9.6,9600,Reg,AllPub,1Fam,1Story,5,7,1950,GasA,Y,SBrkr,11.13,1113,0,0,Typ,Attchd,2.64,264,Y,2009,WD,Normal,147000,147
RL,10.289,10289,Reg,AllPub,1Fam,1Story,5,7,1965,GasA,Y,SBrkr,10.73,1073,0,0,Typ,Attchd,5.15,515,Y,2007,WD,Normal,156000,156
RL,12.243,12243,IR1,AllPub,1Fam,1Story,5,6,1971,GasA,Y,SBrkr,14.84,1484,0,0,Typ,Attchd,4.87,487,Y,2007,WD,Normal,175000,175
RL,10.8,10800,Reg,AllPub,2fmCon,1.5Fin,5,4,1900,GasA,N,FuseA,17.66,1766,6.48,648,Mod,Attchd,5.2,520,N,2006,ConLD,Normal,160000,160
RM,1.526,1526,Reg,AllPub,Twnhs,SFoyer,4,8,1970,GasA,Y,SBrkr,6.3,630,0,0,Typ,Attchd,2.86,286,Y,2009,WD,Normal,86000,86
RM,2.665,2665,Reg,AllPub,TwnhsE,2Story,5,6,1976,GasA,Y,SBrkr,6.16,616,6.88,688,Typ,BuiltIn,3.36,336,Y,2008,WD,Normal,115000,115
RL,9.49,9490,Reg,AllPub,1Fam,1.5Fin,6,7,1941,GasA,Y,FuseA,9.58,958,6.2,620,Typ,Attchd,2.4,240,Y,2006,WD,Normal,133000,133
RL,15.578,15578,IR1,AllPub,1Fam,2Story,6,5,2006,GasA,Y,SBrkr,7.28,728,7.28,728,Typ,Attchd,4.29,429,Y,2006,New,Partial,172785,172.785
RL,7.931,7931,Reg,AllPub,1Fam,1Story,5,6,1960,GasA,Y,FuseA,12.69,1269,0,0,Typ,Detchd,3.08,308,Y,2008,WD,Normal,155000,155
RM,5.784,5784,Reg,AllPub,1Fam,1Story,5,8,1938,GasA,Y,FuseA,8.86,886,0,0,Typ,Attchd,2.73,273,Y,2009,WD,Normal,91300,91.3
C (all),7.879,7879,Reg,AllPub,1Fam,1Story,4,5,1920,GasA,N,FuseA,7.2,720,0,0,Typ,NA,0,0,N,2009,WD,Abnorml,34900,34.9
RL,12.692,12692,IR1,AllPub,1Fam,1Story,8,5,1992,GasA,Y,SBrkr,32.28,3228,0,0,Typ,Attchd,5.46,546,Y,2007,WD,Normal,430000,430
RL,9.12,9120,Reg,AllPub,1Fam,1.5Fin,7,6,1925,GasA,Y,SBrkr,11.33,1133,6.87,687,Typ,Detchd,2.4,240,N,2008,WD,Normal,184000,184
RL,7.8,7800,Reg,AllPub,1Fam,1Story,5,7,1967,GasA,Y,SBrkr,8.99,899,0,0,Typ,Attchd,2.88,288,Y,2009,WD,Normal,130000,130
RL,7.535,7535,IR1,AllPub,1Fam,1Story,5,7,1958,GasA,Y,SBrkr,9.12,912,0,0,Typ,Attchd,2.97,297,Y,2007,WD,Normal,120000,120
RM,1.89,1890,Reg,AllPub,Twnhs,2Story,6,5,1973,GasA,Y,SBrkr,6.72,672,5.46,546,Typ,Detchd,2.64,264,Y,2007,WD,Normal,113000,113
FV,9.803,9803,Reg,AllPub,1Fam,2Story,7,5,2005,GasA,Y,SBrkr,8.66,866,9.02,902,Typ,Attchd,6.03,603,Y,2008,WD,Normal,226700,226.7
RL,9.17,9170,Reg,AllPub,1Fam,1Story,5,7,1965,GasA,Y,SBrkr,12.14,1214,0,0,Typ,Detchd,4.61,461,Y,2007,WD,Normal,140000,140
RL,15.602,15602,IR1,AllPub,1Fam,1Story,7,8,1959,GasA,Y,SBrkr,18.01,1801,0,0,Typ,Attchd,4.84,484,Y,2010,WD,Normal,289000,289
RL,2.308,2308,Reg,AllPub,TwnhsE,2Story,6,5,1974,GasA,Y,SBrkr,8.55,855,4.67,467,Typ,Attchd,4.4,440,Y,2009,WD,Normal,147000,147
RM,7.596,7596,Reg,AllPub,Duplex,2Story,5,5,1952,GasA,Y,SBrkr,9.6,960,10,1000,Typ,Detchd,4,400,N,2009,COD,Normal,124500,124.5
RL,9.554,9554,IR1,AllPub,1Fam,2Story,8,5,1993,GasA,Y,SBrkr,10.65,1065,8.46,846,Typ,Attchd,4.71,471,Y,2006,WD,Normal,215000,215
FV,7.862,7862,IR1,AllPub,1Fam,1Story,6,5,2009,GasA,Y,SBrkr,12.18,1218,0,0,Typ,Attchd,6.76,676,Y,2009,New,Partial,208300,208.3
RM,9.6,9600,Reg,AllPub,1Fam,2Story,7,9,1928,GasA,Y,SBrkr,6.89,689,6.89,689,Typ,Detchd,3.6,360,N,2008,WD,Normal,161000,161
RL,9.6,9600,Reg,AllPub,1Fam,1Story,5,6,1959,GasA,Y,SBrkr,10.41,1041,0,0,Typ,Attchd,2.7,270,Y,2009,WD,Normal,124500,124.5
